round,total_weight,quorum,safety,prepare_weight,commit_weight,primary,status
295,108,71,0,108,0,A,fail
296,109,65,50,109,55,A,fail
297,100,66,0,54,0,C,fail
298,109,65,50,109,55,C,fail
299,100,66,0,54,0,A,fail
300,109,65,50,109,55,A,fail
301,101,59,54,55,0,C,fail
302,108,71,0,108,0,A,fail
303,99,65,0,54,0,C,fail
304,100,66,0,54,0,C,fail
305,100,66,0,54,0,A,fail
306,101,59,54,55,0,C,fail
307,100,66,0,54,0,C,fail
308,99,65,0,54,0,C,fail
309,91,60,0,0,0,A,fail
310,109,65,50,109,55,C,fail
311,101,59,54,55,0,A,fail
312,110,55,100,110,110,A,success
313,110,55,100,110,110,A,success
314,91,60,0,0,0,A,fail
315,100,66,0,54,0,A,fail
316,108,71,0,108,0,A,fail
317,109,65,50,109,55,A,fail
318,109,65,50,109,55,A,fail
319,109,65,50,109,55,C,fail
320,109,65,50,109,55,A,fail
321,99,65,0,54,0,C,fail
322,110,55,100,110,110,A,success
323,109,65,50,109,55,C,fail
324,99,65,0,54,0,A,fail
325,109,65,50,109,55,C,fail
326,100,59,55,55,0,C,fail
327,110,55,100,110,110,A,success
328,110,55,100,110,110,A,success
329,110,55,100,110,110,A,success
330,100,66,0,54,0,C,fail
331,109,65,50,109,55,C,fail
332,109,65,50,109,55,A,fail
333,100,66,0,54,0,C,fail
334,109,65,50,109,55,A,fail
335,100,59,55,55,0,A,fail
336,109,65,50,109,55,C,fail
337,109,65,50,109,55,C,fail
338,110,55,100,110,110,A,success
339,109,65,50,109,55,A,fail
340,99,65,0,54,0,C,fail
341,99,65,0,54,0,C,fail
342,108,71,0,108,0,A,fail
343,101,59,54,55,0,C,fail
344,108,71,0,108,0,A,fail
345,110,55,100,110,110,A,success
346,109,65,50,109,55,C,fail
347,100,59,55,55,0,A,fail
348,108,71,0,108,0,A,fail
349,100,59,55,55,0,C,fail
350,110,55,100,110,110,A,success
351,110,55,100,110,110,A,success
352,100,66,0,54,0,C,fail
353,91,60,0,0,0,A,fail
354,109,65,50,109,55,C,fail
355,108,71,0,108,0,A,fail
356,110,55,100,110,110,A,success
357,108,71,0,108,0,A,fail
358,110,55,100,110,110,A,success
359,100,59,55,55,0,C,fail
360,109,65,50,109,55,A,fail
361,99,65,0,54,0,A,fail
362,92,60,0,0,0,A,fail
363,100,66,0,54,0,C,fail
364,101,59,54,55,0,C,fail
365,101,59,54,55,0,C,fail
366,109,65,50,109,55,A,fail
367,100,59,55,55,0,C,fail
368,109,65,50,109,55,A,fail
369,91,60,0,0,0,A,fail
370,109,65,50,109,55,C,fail
371,100,59,55,55,0,C,fail
372,109,65,50,109,55,C,fail
373,91,60,0,0,0,C,fail
374,108,71,0,108,0,A,fail
375,109,65,50,109,55,C,fail
376,91,60,0,0,0,A,fail
377,110,55,100,110,110,A,success
378,100,59,55,55,0,C,fail
379,109,65,50,109,55,A,fail
380,100,66,0,54,0,C,fail
381,108,71,0,108,0,A,fail
382,90,59,0,0,0,A,fail
383,109,65,50,109,55,C,fail
384,110,55,100,110,110,A,success
385,110,55,100,110,110,A,success
386,99,65,0,54,0,C,fail
387,100,66,0,54,0,A,fail
388,108,71,0,108,0,A,fail
389,110,55,100,110,110,A,success
390,100,59,55,55,0,A,fail
391,91,60,0,0,0,A,fail
392,110,55,100,110,110,A,success
393,100,59,55,55,0,A,fail
394,101,59,54,55,0,C,fail
395,100,59,55,55,0,C,fail
396,101,59,54,55,0,A,fail
397,109,65,50,109,55,A,fail
398,109,65,50,109,55,C,fail
399,100,59,55,55,0,C,fail
400,108,71,0,108,0,A,fail
401,109,65,50,109,55,C,fail
402,109,65,50,109,55,C,fail
403,110,55,100,110,110,A,success
