initial_trust,initial_risk,round,trust
0.1,0.0,0,0.1
0.1,0.0,1,0.1
0.1,0.0,2,0.09996110912194466
0.1,0.0,3,0.0998787466798727
0.1,0.0,4,0.09961378904094154
0.1,0.0,5,0.09953217293674872
0.1,0.0,6,0.09928905276214639
0.1,0.0,7,0.09928905276214639
0.1,0.0,8,0.09924219079100491
0.1,0.0,9,0.09900234788427659
0.1,0.0,10,0.09881695034382977
0.1,0.0,11,0.09881695034382977
0.1,0.0,12,0.09881695034382977
0.1,0.0,13,0.09864668446739097
0.1,0.0,14,0.09864668446739097
0.1,0.0,15,0.09864668446739097
0.1,0.0,16,0.09847692871039926
0.1,0.0,17,0.09847692871039926
0.1,0.0,18,0.09824171135932305
0.1,0.0,19,0.09809110209979538
0.1,0.0,20,0.09778147497052969
0.1,0.0,21,0.09778147497052969
0.1,0.0,22,0.09749237456252283
0.1,0.0,23,0.09749237456252283
0.1,0.0,24,0.09742704312783046
0.1,0.0,25,0.09742704312783046
0.1,0.0,26,0.09742704312783046
0.1,0.0,27,0.09742704312783046
0.1,0.0,28,0.09712104020266796
0.1,0.0,29,0.09710251983639172
0.1,0.0,30,0.09710251983639172
0.1,0.0,31,0.09710251983639172
0.1,0.0,32,0.09683400179762311
0.1,0.0,33,0.09683400179762311
0.1,0.0,34,0.09678749006118556
0.1,0.0,35,0.09669501510675979
0.1,0.0,36,0.09649339146796002
0.1,0.0,37,0.0961903138609262
0.1,0.0,38,0.0961903138609262
0.1,0.0,39,0.0961903138609262
0.1,0.0,40,0.09608654288625829
0.1,0.0,41,0.09589242526298938
0.1,0.0,42,0.09572783282258157
0.1,0.0,43,0.09572783282258157
0.1,0.0,44,0.09566059053194785
0.1,0.0,45,0.09537008971731786
0.1,0.0,46,0.095329993283567
0.1,0.0,47,0.095329993283567
0.1,0.0,48,0.09529968898641374
0.1,0.0,49,0.09529968898641374
0.1,0.0,50,0.09520561548835332
0.1,0.0,51,0.09497847333492745
0.1,0.0,52,0.09497847333492745
0.1,0.0,53,0.09497847333492745
0.1,0.0,54,0.09497847333492745
0.1,0.0,55,0.09497847333492745
0.1,0.0,56,0.09497847333492745
0.1,0.0,57,0.09463885065025186
0.1,0.0,58,0.09463885065025186
0.1,0.0,59,0.0945891028745373
0.1,0.0,60,0.0945891028745373
0.1,0.0,61,0.09430027100255217
0.1,0.0,62,0.0940213876221807
0.1,0.0,63,0.09394583166758137
0.1,0.0,64,0.09365763166266014
0.1,0.0,65,0.09365763166266014
0.1,0.0,66,0.09365763166266014
0.1,0.0,67,0.09365763166266014
0.1,0.0,68,0.09340052078905667
0.1,0.0,69,0.09326228119468334
0.1,0.0,70,0.09311037825108917
0.1,0.0,71,0.09304189300494331
0.1,0.0,72,0.09304189300494331
0.1,0.0,73,0.0928862282105937
0.1,0.0,74,0.0928862282105937
0.1,0.0,75,0.0928862282105937
0.1,0.0,76,0.09283630234800155
0.1,0.0,77,0.09283630234800155
0.1,0.0,78,0.09275046907450266
0.1,0.0,79,0.09275046907450266
0.1,0.0,80,0.09248294638866902
0.1,0.0,81,0.09248294638866902
0.1,0.0,82,0.09219237861512694
0.1,0.0,83,0.09196529342073109
0.1,0.0,84,0.09191539802013646
0.1,0.0,85,0.09172483933002196
0.1,0.0,86,0.09150093415513763
0.1,0.0,87,0.09150093415513763
0.1,0.0,88,0.09150093415513763
0.1,0.0,89,0.0914827705062544
0.1,0.0,90,0.0913200455034241
0.1,0.0,91,0.0913200455034241
0.1,0.0,92,0.0913200455034241
0.1,0.0,93,0.09110418185432048
0.1,0.0,94,0.09110418185432048
0.1,0.0,95,0.09110418185432048
0.1,0.0,96,0.09110418185432048
0.1,0.0,97,0.09110418185432048
0.1,0.0,98,0.09110418185432048
0.1,0.0,99,0.09099498642214608
0.1,0.04736842105263158,0,0.1
0.1,0.04736842105263158,1,0.09979164977359678
0.1,0.04736842105263158,2,0.09916379412215831
0.1,0.04736842105263158,3,0.09916379412215831
0.1,0.04736842105263158,4,0.09874476770485355
0.1,0.04736842105263158,5,0.09871259963958429
0.1,0.04736842105263158,6,0.09851219123994695
0.1,0.04736842105263158,7,0.09821040950675225
0.1,0.04736842105263158,8,0.09805631953018311
0.1,0.04736842105263158,9,0.09789703902740914
0.1,0.04736842105263158,10,0.09744415234094361
0.1,0.04736842105263158,11,0.09724538575329324
0.1,0.04736842105263158,12,0.09676129879991464
0.1,0.04736842105263158,13,0.0967598788121585
0.1,0.04736842105263158,14,0.09673576958870266
0.1,0.04736842105263158,15,0.09607185129727241
0.1,0.04736842105263158,16,0.09603215717588985
0.1,0.04736842105263158,17,0.09537520332164443
0.1,0.04736842105263158,18,0.09500360953590548
0.1,0.04736842105263158,19,0.09465063477543864
0.1,0.04736842105263158,20,0.09410137934695084
0.1,0.04736842105263158,21,0.09365508374553849
0.1,0.04736842105263158,22,0.09319705510490293
0.1,0.04736842105263158,23,0.09257415429844568
0.1,0.04736842105263158,24,0.09222050881163628
0.1,0.04736842105263158,25,0.0917166655258472
0.1,0.04736842105263158,26,0.0910662621854488
0.1,0.04736842105263158,27,0.09068140204798221
0.1,0.04736842105263158,28,0.09054807295147889
0.1,0.04736842105263158,29,0.09050443134500555
0.1,0.04736842105263158,30,0.08989994140475291
0.1,0.04736842105263158,31,0.08966814374748747
0.1,0.04736842105263158,32,0.08925902670461153
0.1,0.04736842105263158,33,0.0886186623999419
0.1,0.04736842105263158,34,0.08814741244488271
0.1,0.04736842105263158,35,0.08769946963408769
0.1,0.04736842105263158,36,0.0872008553414305
0.1,0.04736842105263158,37,0.08693624958457853
0.1,0.04736842105263158,38,0.08690857002282087
0.1,0.04736842105263158,39,0.08667067695964913
0.1,0.04736842105263158,40,0.08613985407430944
0.1,0.04736842105263158,41,0.08575556544632673
0.1,0.04736842105263158,42,0.08566768757231208
0.1,0.04736842105263158,43,0.08566768757231208
0.1,0.04736842105263158,44,0.08523855476289813
0.1,0.04736842105263158,45,0.0851687738819315
0.1,0.04736842105263158,46,0.0851033348347943
0.1,0.04736842105263158,47,0.08452580486131206
0.1,0.04736842105263158,48,0.08388772113491387
0.1,0.04736842105263158,49,0.08335307547341039
0.1,0.04736842105263158,50,0.08288415147495579
0.1,0.04736842105263158,51,0.08231022940768268
0.1,0.04736842105263158,52,0.08170514320376054
0.1,0.04736842105263158,53,0.08130402609922337
0.1,0.04736842105263158,54,0.08075165114078053
0.1,0.04736842105263158,55,0.08028386426324491
0.1,0.04736842105263158,56,0.0796870874448826
0.1,0.04736842105263158,57,0.07905116535783199
0.1,0.04736842105263158,58,0.07887325160046324
0.1,0.04736842105263158,59,0.0782187658854865
0.1,0.04736842105263158,60,0.07774856356940313
0.1,0.04736842105263158,61,0.07767181439949974
0.1,0.04736842105263158,62,0.0771223982550656
0.1,0.04736842105263158,63,0.07645447917444162
0.1,0.04736842105263158,64,0.07645447917444162
0.1,0.04736842105263158,65,0.07590654710936906
0.1,0.04736842105263158,66,0.07527601489750282
0.1,0.04736842105263158,67,0.07472952329114033
0.1,0.04736842105263158,68,0.07424893980412217
0.1,0.04736842105263158,69,0.07404747352857557
0.1,0.04736842105263158,70,0.07363570604577722
0.1,0.04736842105263158,71,0.07363570604577722
0.1,0.04736842105263158,72,0.07320904193643557
0.1,0.04736842105263158,73,0.07270503293613077
0.1,0.04736842105263158,74,0.07204961892591208
0.1,0.04736842105263158,75,0.0716686552485325
0.1,0.04736842105263158,76,0.0711660531068922
0.1,0.04736842105263158,77,0.07090747361997472
0.1,0.04736842105263158,78,0.07087719322922646
0.1,0.04736842105263158,79,0.07047852777630066
0.1,0.04736842105263158,80,0.07040847310114139
0.1,0.04736842105263158,81,0.07032634980486296
0.1,0.04736842105263158,82,0.06989217484035201
0.1,0.04736842105263158,83,0.06941897354435062
0.1,0.04736842105263158,84,0.06922683441725662
0.1,0.04736842105263158,85,0.06920552284258694
0.1,0.04736842105263158,86,0.06904891271743681
0.1,0.04736842105263158,87,0.06867230676623108
0.1,0.04736842105263158,88,0.06808663268984316
0.1,0.04736842105263158,89,0.06798352864782219
0.1,0.04736842105263158,90,0.06742013989072473
0.1,0.04736842105263158,91,0.066909532183676
0.1,0.04736842105263158,92,0.06659039818544281
0.1,0.04736842105263158,93,0.06621021611803687
0.1,0.04736842105263158,94,0.06592808168087645
0.1,0.04736842105263158,95,0.0655231643582906
0.1,0.04736842105263158,96,0.06530811690076446
0.1,0.04736842105263158,97,0.06492536980796644
0.1,0.04736842105263158,98,0.06442541890424171
0.1,0.04736842105263158,99,0.06380708120767462
0.1,0.09473684210526316,0,0.1
0.1,0.09473684210526316,1,0.09946164372114732
0.1,0.09473684210526316,2,0.09872487018342122
0.1,0.09473684210526316,3,0.09814978691098827
0.1,0.09473684210526316,4,0.09726300646826964
0.1,0.09473684210526316,5,0.09678544940893048
0.1,0.09473684210526316,6,0.0962522045136033
0.1,0.09473684210526316,7,0.09534530581387371
0.1,0.09473684210526316,8,0.09460070375436547
0.1,0.09473684210526316,9,0.09405468374602885
0.1,0.09473684210526316,10,0.09347746877129254
0.1,0.09473684210526316,11,0.09314745179326904
0.1,0.09473684210526316,12,0.09229167164091404
0.1,0.09473684210526316,13,0.09179495977882768
0.1,0.09473684210526316,14,0.09096563047757625
0.1,0.09473684210526316,15,0.09021492952058284
0.1,0.09473684210526316,16,0.08931272610248234
0.1,0.09473684210526316,17,0.08848990546527194
0.1,0.09473684210526316,18,0.08792179463406695
0.1,0.09473684210526316,19,0.08695090749449587
0.1,0.09473684210526316,20,0.08609961382245711
0.1,0.09473684210526316,21,0.08542906787633778
0.1,0.09473684210526316,22,0.08472037455274084
0.1,0.09473684210526316,23,0.08427856907296306
0.1,0.09473684210526316,24,0.08384338514736418
0.1,0.09473684210526316,25,0.08318070286807079
0.1,0.09473684210526316,26,0.08218329349467363
0.1,0.09473684210526316,27,0.08159245768159751
0.1,0.09473684210526316,28,0.08077879663713869
0.1,0.09473684210526316,29,0.08009476190159565
0.1,0.09473684210526316,30,0.07943066310909155
0.1,0.09473684210526316,31,0.0790715012312263
0.1,0.09473684210526316,32,0.07848926394144862
0.1,0.09473684210526316,33,0.07780938221889504
0.1,0.09473684210526316,34,0.07737615731897947
0.1,0.09473684210526316,35,0.07670348895008555
0.1,0.09473684210526316,36,0.07619066779762428
0.1,0.09473684210526316,37,0.07540319192059337
0.1,0.09473684210526316,38,0.0744888942953422
0.1,0.09473684210526316,39,0.07390882821567929
0.1,0.09473684210526316,40,0.07308636475174662
0.1,0.09473684210526316,41,0.07233251513018689
0.1,0.09473684210526316,42,0.07166930847158204
0.1,0.09473684210526316,43,0.07070606435045806
0.1,0.09473684210526316,44,0.06984022213460338
0.1,0.09473684210526316,45,0.06883389854484753
0.1,0.09473684210526316,46,0.06784869762441881
0.1,0.09473684210526316,47,0.06743905604974071
0.1,0.09473684210526316,48,0.06644581170891056
0.1,0.09473684210526316,49,0.06544013975027256
0.1,0.09473684210526316,50,0.06486953374168361
0.1,0.09473684210526316,51,0.06447677775127705
0.1,0.09473684210526316,52,0.06409905545368427
0.1,0.09473684210526316,53,0.063571211780467
0.1,0.09473684210526316,54,0.06317269612799366
0.1,0.09473684210526316,55,0.06243143997357657
0.1,0.09473684210526316,56,0.0620505980643089
0.1,0.09473684210526316,57,0.061685932787873446
0.1,0.09473684210526316,58,0.0607549091734162
0.1,0.09473684210526316,59,0.059904957067549267
0.1,0.09473684210526316,60,0.059209068175706855
0.1,0.09473684210526316,61,0.05840339982309861
0.1,0.09473684210526316,62,0.05791452775203394
0.1,0.09473684210526316,63,0.057174554293784555
0.1,0.09473684210526316,64,0.05659273926849949
0.1,0.09473684210526316,65,0.055704998389560466
0.1,0.09473684210526316,66,0.054869536073710104
0.1,0.09473684210526316,67,0.05399659802997821
0.1,0.09473684210526316,68,0.05348415279674135
0.1,0.09473684210526316,69,0.053152283017561086
0.1,0.09473684210526316,70,0.05276836265910348
0.1,0.09473684210526316,71,0.052305095303545796
0.1,0.09473684210526316,72,0.051599580249994975
0.1,0.09473684210526316,73,0.05074104759870063
0.1,0.09473684210526316,74,0.049910153051895334
0.1,0.09473684210526316,75,0.04913452255614743
0.1,0.09473684210526316,76,0.04859917744871496
0.1,0.09473684210526316,77,0.04807633056602197
0.1,0.09473684210526316,78,0.047533592124171034
0.1,0.09473684210526316,79,0.04653795520251043
0.1,0.09473684210526316,80,0.046140698983763495
0.1,0.09473684210526316,81,0.04526644515089011
0.1,0.09473684210526316,82,0.044906806680937245
0.1,0.09473684210526316,83,0.044309459363490615
0.1,0.09473684210526316,84,0.04364818194029359
0.1,0.09473684210526316,85,0.04281357865998618
0.1,0.09473684210526316,86,0.04198595089231593
0.1,0.09473684210526316,87,0.04128679832283448
0.1,0.09473684210526316,88,0.04094201549313592
0.1,0.09473684210526316,89,0.0402023119762419
0.1,0.09473684210526316,90,0.03948129658280796
0.1,0.09473684210526316,91,0.03859517045927387
0.1,0.09473684210526316,92,0.03827996543957657
0.1,0.09473684210526316,93,0.03753631069638299
0.1,0.09473684210526316,94,0.03657703712643593
0.1,0.09473684210526316,95,0.03588585795701789
0.1,0.09473684210526316,96,0.03556494369858387
0.1,0.09473684210526316,97,0.03501800757979568
0.1,0.09473684210526316,98,0.03454742923558522
0.1,0.09473684210526316,99,0.03414308289418902
0.1,0.14210526315789473,0,0.1
0.1,0.14210526315789473,1,0.09883788328995555
0.1,0.14210526315789473,2,0.09781130022295978
0.1,0.14210526315789473,3,0.09648465828187727
0.1,0.14210526315789473,4,0.09522746920625977
0.1,0.14210526315789473,5,0.09411899955053932
0.1,0.14210526315789473,6,0.09329422706782638
0.1,0.14210526315789473,7,0.09229148073088304
0.1,0.14210526315789473,8,0.09145270771442583
0.1,0.14210526315789473,9,0.09035319752647876
0.1,0.14210526315789473,10,0.08912912155199901
0.1,0.14210526315789473,11,0.08795004979983373
0.1,0.14210526315789473,12,0.08699126467833793
0.1,0.14210526315789473,13,0.08611293701389792
0.1,0.14210526315789473,14,0.08526798054407182
0.1,0.14210526315789473,15,0.08454823669481999
0.1,0.14210526315789473,16,0.08377286149505497
0.1,0.14210526315789473,17,0.08272256506918745
