initial_trust,initial_risk,round,old_state,new_state
0.1,0.0,0,1,0
0.1,0.04736842105263158,0,1,0
0.1,0.09473684210526316,0,1,0
0.1,0.14210526315789473,0,1,0
0.1,0.18947368421052632,0,1,0
0.1,0.2368421052631579,0,1,0
0.1,0.28421052631578947,0,1,0
0.1,0.3315789473684211,0,1,0
0.1,0.37894736842105264,0,1,0
0.1,0.4263157894736842,0,1,0
0.1,0.4736842105263158,0,1,0
0.1,0.5210526315789474,0,1,0
0.1,0.5684210526315789,0,1,0
0.1,0.6157894736842106,0,1,0
0.1,0.6631578947368422,0,1,0
0.1,0.7105263157894737,0,1,0
0.1,0.7578947368421053,0,1,0
0.1,0.8052631578947369,0,1,0
0.1,0.8526315789473684,0,1,0
0.1,0.9,0,1,0
0.1473684210526316,0.0,0,1,0
0.1473684210526316,0.04736842105263158,0,1,0
0.1473684210526316,0.09473684210526316,0,1,0
0.1473684210526316,0.14210526315789473,0,1,0
0.1473684210526316,0.18947368421052632,0,1,0
0.1473684210526316,0.2368421052631579,0,1,0
0.1473684210526316,0.28421052631578947,0,1,0
0.1473684210526316,0.3315789473684211,0,1,0
0.1473684210526316,0.37894736842105264,0,1,0
0.1473684210526316,0.4263157894736842,0,1,0
0.1473684210526316,0.4736842105263158,0,1,0
0.1473684210526316,0.5210526315789474,0,1,0
0.1473684210526316,0.5684210526315789,0,1,0
0.1473684210526316,0.6157894736842106,0,1,0
0.1473684210526316,0.6631578947368422,0,1,0
0.1473684210526316,0.7105263157894737,0,1,0
0.1473684210526316,0.7578947368421053,0,1,0
0.1473684210526316,0.8052631578947369,0,1,0
0.1473684210526316,0.8526315789473684,0,1,0
0.1473684210526316,0.9,0,1,0
0.19473684210526315,0.0,0,1,0
0.19473684210526315,0.04736842105263158,0,1,0
0.19473684210526315,0.09473684210526316,0,1,0
0.19473684210526315,0.14210526315789473,0,1,0
0.19473684210526315,0.18947368421052632,0,1,0
0.19473684210526315,0.2368421052631579,0,1,0
0.19473684210526315,0.28421052631578947,0,1,0
0.19473684210526315,0.3315789473684211,0,1,0
0.19473684210526315,0.37894736842105264,0,1,0
0.19473684210526315,0.4263157894736842,0,1,0
0.19473684210526315,0.4736842105263158,0,1,0
0.19473684210526315,0.5210526315789474,0,1,0
0.19473684210526315,0.5684210526315789,0,1,0
0.19473684210526315,0.6157894736842106,0,1,0
0.19473684210526315,0.6631578947368422,0,1,0
0.19473684210526315,0.7105263157894737,0,1,0
0.19473684210526315,0.7578947368421053,0,1,0
0.19473684210526315,0.8052631578947369,0,1,0
0.19473684210526315,0.8526315789473684,0,1,0
0.19473684210526315,0.9,0,1,0
0.24210526315789474,0.0,0,1,0
0.24210526315789474,0.04736842105263158,0,1,0
0.24210526315789474,0.09473684210526316,0,1,0
0.24210526315789474,0.14210526315789473,0,1,0
0.24210526315789474,0.18947368421052632,0,1,0
0.24210526315789474,0.2368421052631579,0,1,0
0.24210526315789474,0.28421052631578947,0,1,0
0.24210526315789474,0.3315789473684211,0,1,0
0.24210526315789474,0.37894736842105264,0,1,0
0.24210526315789474,0.4263157894736842,0,1,0
0.24210526315789474,0.4736842105263158,0,1,0
0.24210526315789474,0.5210526315789474,0,1,0
0.24210526315789474,0.5684210526315789,0,1,0
0.24210526315789474,0.6157894736842106,0,1,0
0.24210526315789474,0.6631578947368422,0,1,0
0.24210526315789474,0.7105263157894737,0,1,0
0.24210526315789474,0.7578947368421053,0,1,0
0.24210526315789474,0.8052631578947369,0,1,0
0.24210526315789474,0.8526315789473684,0,1,0
0.24210526315789474,0.9,0,1,0
0.2894736842105263,0.0,0,1,0
0.2894736842105263,0.04736842105263158,0,1,0
0.2894736842105263,0.09473684210526316,0,1,0
0.2894736842105263,0.14210526315789473,0,1,0
0.2894736842105263,0.18947368421052632,0,1,0
0.2894736842105263,0.2368421052631579,0,1,0
0.2894736842105263,0.28421052631578947,0,1,0
0.2894736842105263,0.3315789473684211,0,1,0
0.2894736842105263,0.37894736842105264,0,1,0
0.2894736842105263,0.4263157894736842,0,1,0
0.2894736842105263,0.4736842105263158,0,1,0
0.2894736842105263,0.5210526315789474,0,1,0
0.2894736842105263,0.5684210526315789,0,1,0
0.2894736842105263,0.6157894736842106,0,1,0
0.2894736842105263,0.6631578947368422,0,1,0
0.2894736842105263,0.7105263157894737,0,1,0
0.2894736842105263,0.7578947368421053,0,1,0
0.2894736842105263,0.8052631578947369,0,1,0
0.2894736842105263,0.8526315789473684,0,1,0
0.2894736842105263,0.9,0,1,0
0.33684210526315794,0.0,0,1,0
0.33684210526315794,0.04736842105263158,0,1,0
0.33684210526315794,0.09473684210526316,0,1,0
0.33684210526315794,0.14210526315789473,0,1,0
0.33684210526315794,0.18947368421052632,0,1,0
0.33684210526315794,0.2368421052631579,0,1,0
0.33684210526315794,0.28421052631578947,0,1,0
0.33684210526315794,0.3315789473684211,0,1,0
0.33684210526315794,0.37894736842105264,0,1,0
0.33684210526315794,0.4263157894736842,0,1,0
0.33684210526315794,0.4736842105263158,0,1,0
0.33684210526315794,0.5210526315789474,0,1,0
0.33684210526315794,0.5684210526315789,0,1,0
0.33684210526315794,0.6157894736842106,0,1,0
0.33684210526315794,0.6631578947368422,0,1,0
0.33684210526315794,0.7105263157894737,0,1,0
0.33684210526315794,0.7578947368421053,0,1,0
0.33684210526315794,0.8052631578947369,0,1,0
0.33684210526315794,0.8526315789473684,0,1,0
0.33684210526315794,0.9,0,1,0
0.38421052631578945,0.0,0,1,0
0.38421052631578945,0.04736842105263158,0,1,0
0.38421052631578945,0.09473684210526316,0,1,0
0.38421052631578945,0.14210526315789473,0,1,0
0.38421052631578945,0.18947368421052632,0,1,0
0.38421052631578945,0.2368421052631579,0,1,0
0.38421052631578945,0.28421052631578947,0,1,0
0.38421052631578945,0.3315789473684211,0,1,0
0.38421052631578945,0.37894736842105264,0,1,0
0.38421052631578945,0.4263157894736842,0,1,0
0.38421052631578945,0.4736842105263158,0,1,0
0.38421052631578945,0.5210526315789474,0,1,0
0.38421052631578945,0.5684210526315789,0,1,0
0.38421052631578945,0.6157894736842106,0,1,0
0.38421052631578945,0.6631578947368422,0,1,0
0.38421052631578945,0.7105263157894737,0,1,0
0.38421052631578945,0.7578947368421053,0,1,0
0.38421052631578945,0.8052631578947369,0,1,0
0.38421052631578945,0.8526315789473684,0,1,0
0.38421052631578945,0.9,0,1,0
0.43157894736842106,0.0,0,1,0
0.43157894736842106,0.04736842105263158,0,1,0
0.43157894736842106,0.09473684210526316,0,1,0
0.43157894736842106,0.14210526315789473,0,1,0
0.43157894736842106,0.18947368421052632,0,1,0
0.43157894736842106,0.2368421052631579,0,1,0
0.43157894736842106,0.28421052631578947,0,1,0
0.43157894736842106,0.3315789473684211,0,1,0
0.43157894736842106,0.37894736842105264,0,1,0
0.43157894736842106,0.4263157894736842,0,1,0
0.43157894736842106,0.4736842105263158,0,1,0
0.43157894736842106,0.5210526315789474,0,1,0
0.43157894736842106,0.5684210526315789,0,1,0
0.43157894736842106,0.6157894736842106,0,1,0
0.43157894736842106,0.6631578947368422,0,1,0
0.43157894736842106,0.7105263157894737,0,1,0
0.43157894736842106,0.7578947368421053,0,1,0
0.43157894736842106,0.8052631578947369,0,1,0
0.43157894736842106,0.8526315789473684,0,1,0
0.43157894736842106,0.9,0,1,0
0.4789473684210527,0.0,0,1,0
0.4789473684210527,0.04736842105263158,0,1,0
0.4789473684210527,0.09473684210526316,0,1,0
0.4789473684210527,0.14210526315789473,0,1,0
0.4789473684210527,0.18947368421052632,0,1,0
0.4789473684210527,0.2368421052631579,0,1,0
0.4789473684210527,0.28421052631578947,0,1,0
0.4789473684210527,0.3315789473684211,0,1,0
0.4789473684210527,0.37894736842105264,0,1,0
0.4789473684210527,0.4263157894736842,0,1,0
0.4789473684210527,0.4736842105263158,0,1,0
0.4789473684210527,0.5210526315789474,0,1,0
0.4789473684210527,0.5684210526315789,0,1,0
0.4789473684210527,0.6157894736842106,0,1,0
0.4789473684210527,0.6631578947368422,0,1,0
0.4789473684210527,0.7105263157894737,0,1,0
0.4789473684210527,0.7578947368421053,0,1,0
0.4789473684210527,0.8052631578947369,0,1,0
0.4789473684210527,0.8526315789473684,0,1,0
0.4789473684210527,0.9,0,1,0
0.5263157894736842,0.0,14,1,0
0.5263157894736842,0.04736842105263158,1,1,0
0.5263157894736842,0.09473684210526316,0,1,0
0.5263157894736842,0.14210526315789473,0,1,0
0.5263157894736842,0.18947368421052632,0,1,0
0.5263157894736842,0.2368421052631579,0,1,0
0.5263157894736842,0.28421052631578947,0,1,0
0.5263157894736842,0.3315789473684211,0,1,0
0.5263157894736842,0.37894736842105264,0,1,0
0.5263157894736842,0.4263157894736842,0,1,0
0.5263157894736842,0.4736842105263158,0,1,0
0.5263157894736842,0.5210526315789474,0,1,0
0.5263157894736842,0.5684210526315789,0,1,0
0.5263157894736842,0.6157894736842106,0,1,0
0.5263157894736842,0.6631578947368422,0,1,0
0.5263157894736842,0.7105263157894737,0,1,0
0.5263157894736842,0.7578947368421053,0,1,0
0.5263157894736842,0.8052631578947369,0,1,0
0.5263157894736842,0.8526315789473684,0,1,0
0.5263157894736842,0.9,0,1,0
0.5736842105263158,0.04736842105263158,73,1,0
0.5736842105263158,0.09473684210526316,5,1,0
0.5736842105263158,0.14210526315789473,0,1,0
0.5736842105263158,0.18947368421052632,0,1,0
0.5736842105263158,0.2368421052631579,0,1,0
0.5736842105263158,0.28421052631578947,0,1,0
0.5736842105263158,0.3315789473684211,0,1,0
0.5736842105263158,0.37894736842105264,0,1,0
0.5736842105263158,0.4263157894736842,0,1,0
0.5736842105263158,0.4736842105263158,0,1,0
0.5736842105263158,0.5210526315789474,0,1,0
0.5736842105263158,0.5684210526315789,0,1,0
0.5736842105263158,0.6157894736842106,0,1,0
0.5736842105263158,0.6631578947368422,0,1,0
0.5736842105263158,0.7105263157894737,0,1,0
0.5736842105263158,0.7578947368421053,0,1,0
0.5736842105263158,0.8052631578947369,0,1,0
0.5736842105263158,0.8526315789473684,0,1,0
0.5736842105263158,0.9,0,1,0
0.6210526315789474,0.09473684210526316,69,1,0
0.6210526315789474,0.14210526315789473,9,1,0
0.6210526315789474,0.18947368421052632,0,1,0
0.6210526315789474,0.2368421052631579,0,1,0
0.6210526315789474,0.28421052631578947,0,1,0
0.6210526315789474,0.3315789473684211,0,1,0
0.6210526315789474,0.37894736842105264,0,1,0
0.6210526315789474,0.4263157894736842,0,1,0
0.6210526315789474,0.4736842105263158,0,1,0
0.6210526315789474,0.5210526315789474,0,1,0
0.6210526315789474,0.5684210526315789,0,1,0
0.6210526315789474,0.6157894736842106,0,1,0
0.6210526315789474,0.6631578947368422,0,1,0
0.6210526315789474,0.7105263157894737,0,1,0
0.6210526315789474,0.7578947368421053,0,1,0
0.6210526315789474,0.8052631578947369,0,1,0
0.6210526315789474,0.8526315789473684,0,1,0
0.6210526315789474,0.9,0,1,0
0.6684210526315789,0.14210526315789473,61,1,0
0.6684210526315789,0.18947368421052632,24,1,0
0.6684210526315789,0.2368421052631579,4,1,0
0.6684210526315789,0.28421052631578947,0,1,0
0.6684210526315789,0.3315789473684211,0,1,0
0.6684210526315789,0.37894736842105264,0,1,0
0.6684210526315789,0.4263157894736842,0,1,0
0.6684210526315789,0.4736842105263158,0,1,0
0.6684210526315789,0.5210526315789474,0,1,0
0.6684210526315789,0.5684210526315789,0,1,0
0.6684210526315789,0.6157894736842106,0,1,0
0.6684210526315789,0.6631578947368422,0,1,0
0.6684210526315789,0.7105263157894737,0,1,0
0.6684210526315789,0.7578947368421053,0,1,0
0.6684210526315789,0.8052631578947369,0,1,0
0.6684210526315789,0.8526315789473684,0,1,0
0.6684210526315789,0.9,0,1,0
0.7157894736842105,0.18947368421052632,49,1,0
0.7157894736842105,0.2368421052631579,27,1,0
0.7157894736842105,0.28421052631578947,0,1,0
0.7157894736842105,0.3315789473684211,0,1,0
0.7157894736842105,0.37894736842105264,0,1,0
0.7157894736842105,0.4263157894736842,0,1,0
0.7157894736842105,0.4736842105263158,0,1,0
0.7157894736842105,0.5210526315789474,0,1,0
0.7157894736842105,0.5684210526315789,0,1,0
0.7157894736842105,0.6157894736842106,0,1,0
0.7157894736842105,0.6631578947368422,0,1,0
0.7157894736842105,0.7105263157894737,0,1,0
0.7157894736842105,0.7578947368421053,0,1,0
0.7157894736842105,0.8052631578947369,0,1,0
0.7157894736842105,0.8526315789473684,0,1,0
0.7157894736842105,0.9,0,1,0
0.7631578947368421,0.18947368421052632,93,1,0
0.7631578947368421,0.2368421052631579,44,1,0
0.7631578947368421,0.28421052631578947,14,1,0
0.7631578947368421,0.3315789473684211,0,1,0
0.7631578947368421,0.37894736842105264,1,1,0
0.7631578947368421,0.4263157894736842,0,1,0
0.7631578947368421,0.4736842105263158,0,1,0
0.7631578947368421,0.5210526315789474,0,1,0
0.7631578947368421,0.5684210526315789,0,1,0
0.7631578947368421,0.6157894736842106,0,1,0
0.7631578947368421,0.6631578947368422,0,1,0
0.7631578947368421,0.7105263157894737,0,1,0
0.7631578947368421,0.7578947368421053,0,1,0
0.7631578947368421,0.8052631578947369,0,1,0
0.7631578947368421,0.8526315789473684,0,1,0
