initial_trust,initial_risk,round,governance_weight
0.1,0.0,0,0.09818916537867903
0.1,0.0,1,0.09987324157650754
0.1,0.0,2,0.09579335362524412
0.1,0.0,3,0.09958728694834054
0.1,0.0,4,0.09958728694834054
0.1,0.0,5,0.09606046679246118
0.1,0.0,6,0.0955962593235233
0.1,0.0,7,0.09773631158567112
0.1,0.0,8,0.09787522492361588
0.1,0.0,9,0.09890279741502042
0.1,0.0,10,0.09526136539382353
0.1,0.0,11,0.09864506937481732
0.1,0.0,12,0.09864506937481732
0.1,0.0,13,0.09864506937481732
0.1,0.0,14,0.09864506937481732
0.1,0.0,15,0.09649938018825768
0.1,0.0,16,0.09689882610124544
0.1,0.0,17,0.09837952191723798
0.1,0.0,18,0.09837952191723798
0.1,0.0,19,0.09837952191723798
0.1,0.0,20,0.09591175684887669
0.1,0.0,21,0.0978257881865106
0.1,0.0,22,0.09817697873011147
0.1,0.0,23,0.09817697873011147
0.1,0.0,24,0.09614548896569867
0.1,0.0,25,0.09600191240186477
0.1,0.0,26,0.09395999299423186
0.1,0.0,27,0.09615871387474936
0.1,0.0,28,0.09346121001509564
0.1,0.0,29,0.09721237447840486
0.1,0.0,30,0.09721237447840486
0.1,0.0,31,0.09721237447840486
0.1,0.0,32,0.09721237447840486
0.1,0.0,33,0.09721237447840486
0.1,0.0,34,0.09388992879070024
0.1,0.0,35,0.09697313415597966
0.1,0.0,36,0.09673919911126443
0.1,0.0,37,0.09654543609876667
0.1,0.0,38,0.09573742123078714
0.1,0.0,39,0.09684070684612056
0.1,0.0,40,0.09684070684612056
0.1,0.0,41,0.09544737914117087
0.1,0.0,42,0.09563394028016689
0.1,0.0,43,0.09665995933574889
0.1,0.0,44,0.09400498681628439
0.1,0.0,45,0.09646768936414982
0.1,0.0,46,0.09174915872040555
0.1,0.0,47,0.09612529788857992
0.1,0.0,48,0.09612529788857992
0.1,0.0,49,0.09612529788857992
0.1,0.0,50,0.09612529788857992
0.1,0.0,51,0.09428465563753444
0.1,0.0,52,0.09599125933639512
0.1,0.0,53,0.09599125933639512
0.1,0.0,54,0.09599125933639512
0.1,0.0,55,0.09599125933639512
0.1,0.0,56,0.09599125933639512
0.1,0.0,57,0.09599125933639512
0.1,0.0,58,0.09488196069037085
0.1,0.0,59,0.09591036561153046
0.1,0.0,60,0.09327644435019276
0.1,0.0,61,0.09571812936353156
0.1,0.0,62,0.09571812936353156
0.1,0.0,63,0.09571812936353156
0.1,0.0,64,0.09478088167152837
0.1,0.0,65,0.09400466814884222
0.1,0.0,66,0.09080186031141418
0.1,0.0,67,0.09518280466070203
0.1,0.0,68,0.09518280466070203
0.1,0.0,69,0.09364508368750007
0.1,0.0,70,0.09333839201688333
0.1,0.0,71,0.09306891675300843
0.1,0.0,72,0.09480412055460904
0.1,0.0,73,0.09480412055460904
0.1,0.0,74,0.09209734587001393
0.1,0.0,75,0.09460426191258671
0.1,0.0,76,0.09460426191258671
0.1,0.0,77,0.09460426191258671
0.1,0.0,78,0.09083099831466075
0.1,0.0,79,0.09432506893912546
0.1,0.0,80,0.08972737644684614
0.1,0.0,81,0.09398386751931281
0.1,0.0,82,0.09398386751931281
0.1,0.0,83,0.09346193843884498
0.1,0.0,84,0.08927135645537863
0.1,0.0,85,0.09050496528149651
0.1,0.0,86,0.09336552170971563
0.1,0.0,87,0.09336552170971563
0.1,0.0,88,0.09332210922749735
0.1,0.0,89,0.09336226689605463
0.1,0.0,90,0.09331208137727295
0.1,0.0,91,0.09235645430781983
0.1,0.0,92,0.09328337067309257
0.1,0.0,93,0.08876299598542225
0.1,0.0,94,0.08917724645209538
0.1,0.0,95,0.09138743470464679
0.1,0.0,96,0.09190351671632453
0.1,0.0,97,0.09251431958564005
0.1,0.0,98,0.09251431958564005
0.1,0.0,99,0.08832936837184455
0.1,0.04736842105263158,0,0.0914703405060351
0.1,0.04736842105263158,1,0.09252471662415622
0.1,0.04736842105263158,2,0.09023218347365218
0.1,0.04736842105263158,3,0.08911585769289507
0.1,0.04736842105263158,4,0.09681268925229701
0.1,0.04736842105263158,5,0.09122072370383466
0.1,0.04736842105263158,6,0.09679915614143346
0.1,0.04736842105263158,7,0.09122257354255664
0.1,0.04736842105263158,8,0.0932483392756305
0.1,0.04736842105263158,9,0.09147815767042192
0.1,0.04736842105263158,10,0.08836237166830725
0.1,0.04736842105263158,11,0.08937149819678633
0.1,0.04736842105263158,12,0.09420594632377308
0.1,0.04736842105263158,13,0.09182188506381163
0.1,0.04736842105263158,14,0.09116723953871968
0.1,0.04736842105263158,15,0.09014517223603193
0.1,0.04736842105263158,16,0.09074536852209864
0.1,0.04736842105263158,17,0.0907110524430517
0.1,0.04736842105263158,18,0.08728882329677655
0.1,0.04736842105263158,19,0.08506511405215444
0.1,0.04736842105263158,20,0.08712238111229463
0.1,0.04736842105263158,21,0.09151554135462012
0.1,0.04736842105263158,22,0.09184303151575557
0.1,0.04736842105263158,23,0.08387387395636314
0.1,0.04736842105263158,24,0.08580923438478437
0.1,0.04736842105263158,25,0.0845721803299376
0.1,0.04736842105263158,26,0.08991762253775853
0.1,0.04736842105263158,27,0.0894488235774091
0.1,0.04736842105263158,28,0.08320522516338343
0.1,0.04736842105263158,29,0.08789276807544029
0.1,0.04736842105263158,30,0.0834461979693616
0.1,0.04736842105263158,31,0.08732715889140921
0.1,0.04736842105263158,32,0.08548866716296337
0.1,0.04736842105263158,33,0.08703833278538277
0.1,0.04736842105263158,34,0.0883720225743017
0.1,0.04736842105263158,35,0.08816324775068715
0.1,0.04736842105263158,36,0.08431466769260733
0.1,0.04736842105263158,37,0.08602720929508842
0.1,0.04736842105263158,38,0.08624067232211986
0.1,0.04736842105263158,39,0.0806383021462937
0.1,0.04736842105263158,40,0.08258258717870921
0.1,0.04736842105263158,41,0.08568720323103574
0.1,0.04736842105263158,42,0.07875186191071759
0.1,0.04736842105263158,43,0.07954315172183406
0.1,0.04736842105263158,44,0.08108238798408261
0.1,0.04736842105263158,45,0.07888796931690263
0.1,0.04736842105263158,46,0.08347601111983531
0.1,0.04736842105263158,47,0.07860529575926983
0.1,0.04736842105263158,48,0.07929963746319854
0.1,0.04736842105263158,49,0.08287896536977392
0.1,0.04736842105263158,50,0.08067615524933662
0.1,0.04736842105263158,51,0.08343265212087145
0.1,0.04736842105263158,52,0.08079328202428021
0.1,0.04736842105263158,53,0.07785651664385486
0.1,0.04736842105263158,54,0.07993955540132405
0.1,0.04736842105263158,55,0.08189419424582438
0.1,0.04736842105263158,56,0.07480278522663314
0.1,0.04736842105263158,57,0.07671534295477715
