initial_trust,initial_risk,survivability,final_trust,mean_quorum
0.1,0.0,0.0,0.09219766959428978,0.6296247587876792
0.1,0.04736842105263158,0.0,0.06773353464926749,0.6283795675188727
0.1,0.09473684210526316,0.0,0.03279190296325404,0.6266166434606706
0.1,0.14210526315789473,0.0,0.016814308425578173,0.6253859588670306
0.1,0.18947368421052632,0.0,0.00601318202038787,0.6242888024209919
0.1,0.2368421052631579,0.0,0.0011950488333312766,0.623471082109095
0.1,0.28421052631578947,0.0,0.0,0.6229192330660602
0.1,0.3315789473684211,0.0,0.0,0.6224838595673857
0.1,0.37894736842105264,0.0,0.0,0.6221839576945891
0.1,0.4263157894736842,0.0,0.0,0.6219416079109151
0.1,0.4736842105263158,0.0,0.0,0.6217365924815755
0.1,0.5210526315789474,0.0,0.0,0.62159036465703
0.1,0.5684210526315789,0.0,0.0,0.6214577314464467
0.1,0.6157894736842106,0.0,0.0,0.6213554027971879
0.1,0.6631578947368422,0.0,0.0,0.6212677579522438
0.1,0.7105263157894737,0.0,0.0,0.6211863133812197
0.1,0.7578947368421053,0.0,0.0,0.6211198138473533
0.1,0.8052631578947369,0.0,0.0,0.6210405546119473
0.1,0.8526315789473684,0.0,0.0,0.6209768058687771
0.1,0.9,0.0,0.0,0.6209363818301136
0.1473684210526316,0.0,0.0,0.1394106058666606,0.6343314417084539
0.1473684210526316,0.04736842105263158,0.0,0.11324168674932847,0.6330207048970496
0.1473684210526316,0.09473684210526316,0.0,0.07888952328328248,0.6313493147687766
0.1473684210526316,0.14210526315789473,0.0,0.04538976469097123,0.6297174319732386
0.1473684210526316,0.18947368421052632,0.0,0.026397641420585698,0.6282329545956609
0.1473684210526316,0.2368421052631579,0.0,0.01491395951354745,0.6270538980182965
0.1473684210526316,0.28421052631578947,0.0,0.008762223830126396,0.6261443366946163
0.1473684210526316,0.3315789473684211,0.0,0.003588744167409678,0.6252960943749386
0.1473684210526316,0.37894736842105264,0.0,0.0,0.6247254632620909
0.1473684210526316,0.4263157894736842,0.0,0.0,0.6241033421932992
0.1473684210526316,0.4736842105263158,0.0,0.0,0.6237726419383663
0.1473684210526316,0.5210526315789474,0.0,0.0,0.6234273926621884
0.1473684210526316,0.5684210526315789,0.0,0.0,0.6231236397329165
0.1473684210526316,0.6157894736842106,0.0,0.0,0.6229160788258616
0.1473684210526316,0.6631578947368422,0.0,0.0,0.6226877242989106
0.1473684210526316,0.7105263157894737,0.0,0.0,0.6225584047552886
0.1473684210526316,0.7578947368421053,0.0,0.0,0.6223438857568978
0.1473684210526316,0.8052631578947369,0.0,0.0,0.622255272044815
0.1473684210526316,0.8526315789473684,0.0,0.0,0.6221095726703284
0.1473684210526316,0.9,0.0,0.0,0.6219998122566739
0.19473684210526315,0.0,0.0,0.18625409747035132,0.6390060999454679
0.19473684210526315,0.04736842105263158,0.0,0.1633711458502103,0.6379603078956047
0.19473684210526315,0.09473684210526316,0.0,0.12748743523932848,0.636146915370087
0.19473684210526315,0.14210526315789473,0.0,0.09250311581031881,0.6345306740741135
0.19473684210526315,0.18947368421052632,0.0,0.061706114045591086,0.6329470624709055
0.19473684210526315,0.2368421052631579,0.0,0.03965870839376474,0.6313966578619566
0.19473684210526315,0.28421052631578947,0.0,0.026091307871146666,0.6299606149929119
0.19473684210526315,0.3315789473684211,0.0,0.015554625571284546,0.6288539454138264
0.19473684210526315,0.37894736842105264,0.0,0.010824697225068663,0.62793036036401
0.19473684210526315,0.4263157894736842,0.0,0.005892962742039723,0.6271677763739754
0.19473684210526315,0.4736842105263158,0.0,0.0017984315923083405,0.6265577919140474
0.19473684210526315,0.5210526315789474,0.0,0.0,0.6258908514696251
0.19473684210526315,0.5684210526315789,0.0,0.0,0.6254388843040799
0.19473684210526315,0.6157894736842106,0.0,0.0,0.6249954451569288
0.19473684210526315,0.6631578947368422,0.0,0.0,0.6247197791066406
0.19473684210526315,0.7105263157894737,0.0,0.0,0.6243905171313733
0.19473684210526315,0.7578947368421053,0.0,0.0,0.6241480983287062
0.19473684210526315,0.8052631578947369,0.0,0.0,0.623877103069173
0.19473684210526315,0.8526315789473684,0.0,0.0,0.6236460191528223
0.19473684210526315,0.9,0.0,0.0,0.6234357175722417
