theta_seq,physics_alarm_seq
11.804406535500528,1
21.824271407401632,1
31.172052476232373,1
38.924397943135695,1
46.45180634615592,1
53.6568471343804,1
59.13329266422533,1
65.66049053265597,1
71.4726405303545,1
76.39872130857614,1
79.40630551432126,1
82.94591941832398,1
86.65379315978726,1
89.51388656284543,1
91.12182251094644,1
93.65485392761435,1
95.22992732316462,1
96.71770845770646,1
97.91820892945812,1
98.88010894365404,1
99.67064057833396,1
101.58470400032748,1
102.6456455008225,1
104.2481966348357,1
104.57095458097518,1
105.25849333235654,1
106.0155772456717,1
106.7254920304806,1
107.42095970439983,1
107.85369705746508,1
109.36869413023254,1
111.19973947896162,1
112.19199498687811,1
111.63453537487632,1
111.97539121782256,1
112.31443040866526,1
113.869767968619,1
113.66023778077408,1
112.84360437322668,1
112.94313396147652,1
113.85972063841731,1
112.94855202376364,1
113.35531217554094,1
114.08226119792016,1
115.37696285932948,1
115.02667498327976,1
114.92916609238758,1
115.8034710433963,1
114.8714635361601,1
114.84263889026325,1
113.83669089809152,1
112.93890150361533,1
113.44224127862226,1
113.75855869958832,1
114.55882458477537,1
113.2466892159775,1
113.51480001862964,1
113.37244994978673,1
113.08764274331293,1
113.34060168905783,1
122.67563012364408,1
125.39411434085554,1
127.13019313978188,1
162.12700629248042,1
188.2075510018145,1
206.98392732811809,1
214.3875501583189,1
212.8497163970987,1
207.90196676516123,1
222.60569190349165,1
249.60148447541988,1
241.78928180396971,1
229.7338776010144,1
228.9720966198596,1
236.67136764837764,1
264.099016986266,1
258.0473971695994,1
247.29225481642305,1
240.95980689898707,1
233.2037131874373,1
249.44353458901375,1
239.5176305138545,1
265.783721001008,1
279.7115454894567,1
293.295397503466,1
282.7129787247632,1
274.8723550339762,1
262.4655518841024,1
256.24592990828046,1
247.23809044241972,1
261.84922118433326,1
254.07514317253904,1
267.98703529967776,1
277.8436829627032,1
280.0199466637339,1
274.6576165091117,1
266.97153488535463,1
270.96672419462567,1
258.2104625008347,1
245.07854231574896,1
246.3867209985733,1
245.12813311747004,1
259.63120995640656,1
272.08705699438696,1
266.35821164573554,1
258.6444500534729,1
283.5700162711155,1
277.40403330649497,1
271.8141365308797,1
263.21248290576074,1
252.1702070846288,1
246.27147171082777,1
257.9124137021707,1
275.1509044710969,1
268.49518183870254,1
263.4808576161796,1
263.95240991534354,1
253.35028982454253,1
243.42126569810847,1
240.16728458848863,1
