threshold,recall
0.0,1.0
0.7198518949637408,0.9958333333333333
1.4397037899274816,0.9513888888888888
2.1595556848912225,0.8847222222222222
2.879407579854963,0.8125
3.599259474818704,0.7847222222222222
4.319111369782445,0.7513888888888889
5.038963264746186,0.7083333333333334
5.758815159709926,0.6486111111111111
6.478667054673667,0.5916666666666667
7.198518949637408,0.5319444444444444
7.9183708446011485,0.48333333333333334
8.63822273956489,0.43333333333333335
9.35807463452863,0.4166666666666667
10.077926529492371,0.40694444444444444
10.797778424456112,0.4027777777777778
11.517630319419853,0.39861111111111114
12.237482214383594,0.3972222222222222
12.957334109347334,0.39305555555555555
13.677186004311075,0.38472222222222224
14.397037899274816,0.37222222222222223
15.116889794238556,0.3597222222222222
15.836741689202297,0.3486111111111111
16.556593584166038,0.34305555555555556
17.27644547912978,0.3263888888888889
17.99629737409352,0.30972222222222223
18.71614926905726,0.2902777777777778
19.436001164021,0.2652777777777778
20.155853058984743,0.24444444444444444
20.875704953948482,0.2222222222222222
21.595556848912224,0.2013888888888889
22.315408743875963,0.19027777777777777
23.035260638839706,0.18333333333333332
23.755112533803448,0.16805555555555557
24.474964428767187,0.1486111111111111
25.19481632373093,0.13055555555555556
25.91466821869467,0.11666666666666667
26.63452011365841,0.10833333333333334
27.35437200862215,0.09305555555555556
28.074223903585892,0.07222222222222222
28.79407579854963,0.05555555555555555
29.513927693513374,0.04861111111111111
30.233779588477113,0.03888888888888889
30.953631483440855,0.03333333333333333
31.673483378404594,0.029166666666666667
32.393335273368336,0.02638888888888889
33.113187168332075,0.022222222222222223
33.833039063295814,0.0125
34.55289095825956,0.006944444444444444
35.2727428532233,0.001388888888888889
