fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001388888888888889,35.2727428532233
0.0,0.9069444444444444,1.8703942008579704
0.004166666666666667,0.9069444444444444,1.830509254186772
0.004166666666666667,0.9472222222222222,1.52625673263409
0.008333333333333333,0.9472222222222222,1.52384725777918
0.008333333333333333,0.95,1.5082979474976042
0.0125,0.95,1.4883026394887793
0.0125,0.9652777777777778,1.251095992757131
0.016666666666666666,0.9652777777777778,1.2415462199028695
0.016666666666666666,0.9694444444444444,1.1988560088479967
0.025,0.9694444444444444,1.124749010388628
0.025,0.9777777777777777,1.0047012485275546
0.029166666666666667,0.9777777777777777,0.999683364439958
0.029166666666666667,0.9833333333333333,0.937606841175344
0.03333333333333333,0.9833333333333333,0.9251228813358064
0.03333333333333333,0.9861111111111112,0.8961967646940338
0.041666666666666664,0.9861111111111112,0.8552230338704134
0.041666666666666664,0.9875,0.8470447734547357
0.04583333333333333,0.9875,0.8415332596612671
0.04583333333333333,0.9902777777777778,0.8116775317283687
0.05,0.9902777777777778,0.8085889189743363
0.05,0.9916666666666667,0.8033654662476518
0.058333333333333334,0.9916666666666667,0.7778564043075299
0.058333333333333334,0.9944444444444445,0.7446401579487203
0.0625,0.9944444444444445,0.7423920744342473
0.0625,0.9958333333333333,0.7283430369048511
0.08333333333333333,0.9958333333333333,0.6864434609958919
0.08333333333333333,0.9972222222222222,0.6686267616060723
0.0875,0.9972222222222222,0.6623974405894678
0.0875,0.9986111111111111,0.6540282780791208
0.12916666666666668,0.9986111111111111,0.5725174376253633
0.12916666666666668,1.0,0.572030198363625
0.8458333333333333,1.0,0.0020402435902391
1.0,1.0,0.0
