Quorum,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
K=2 (Strict Majority),239,1,174,546,0.8177083333333334,0.9981718464351006,0.7583333333333333,0.861878453038674
K=1 (OR Mode),219,21,48,672,0.928125,0.9696969696969697,0.9333333333333333,0.9511677282377919
