precision,recall,f1
0.9655667144906743,0.9347222222222222,0.9498941425546931
0.9797687861271677,0.9416666666666667,0.9603399433427762
0.9708879184861717,0.9263888888888889,0.9481165600568585
0.9690140845070423,0.9555555555555556,0.9622377622377623
0.9766763848396501,0.9305555555555556,0.9530583214793741
0.9672619047619048,0.9027777777777778,0.9339080459770115
0.9753265602322206,0.9333333333333333,0.9538679914833215
0.9781659388646288,0.9333333333333333,0.9552238805970149
0.9781976744186046,0.9347222222222222,0.9559659090909091
0.9794721407624634,0.9277777777777778,0.9529243937232525
