case,buses,branches,h_p_max_abs_error,h_q_max_abs_error,power_balance_residual,converged
case9,9,9,5.840191816698305e-16,4.288236432614667e-15,-5.273559366969494e-16,True
case14,14,20,2.400857290751901e-15,5.7592819402429996e-15,2.3314683517128287e-15,True
case30,30,41,4.954370247389761e-15,1.1823875212257917e-14,-2.8622937353617317e-15,True
case118,118,186,1.0436096431476471e-14,2.910437230054709e-14,-2.55351295663786e-14,True
