initial_trust,initial_risk,survivability,final_trust,mean_quorum
0.1,0.0,0.0,0.09107068761544035,0.6295507766149379
0.1,0.04736842105263158,0.0,0.07035849704274509,0.6283657731732715
0.1,0.09473684210526316,0.0,0.03236684174225734,0.6266418969322196
0.1,0.14210526315789473,0.0,0.014767538825686414,0.6253153067696373
0.1,0.18947368421052632,0.0,0.0060448030316848575,0.6241909742791582
0.1,0.2368421052631579,0.0,0.0017360233613577113,0.6234661085946641
0.1,0.28421052631578947,0.0,0.0,0.6227979063451322
0.1,0.3315789473684211,0.0,0.0,0.6224821432791432
0.1,0.37894736842105264,0.0,0.0,0.622158318296751
0.1,0.4263157894736842,0.0,0.0,0.6218979635220236
0.1,0.4736842105263158,0.0,0.0,0.6217386390531549
0.1,0.5210526315789474,0.0,0.0,0.6215874225942262
0.1,0.5684210526315789,0.0,0.0,0.621465968271785
0.1,0.6157894736842106,0.0,0.0,0.6213673041054396
0.1,0.6631578947368422,0.0,0.0,0.6212520209837793
0.1,0.7105263157894737,0.0,0.0,0.6211676796699119
0.1,0.7578947368421053,0.0,0.0,0.6210927394505475
0.1,0.8052631578947369,0.0,0.0,0.6210606285825917
0.1,0.8526315789473684,0.0,0.0,0.6209885545088578
0.1,0.9,0.0,0.0,0.6209484494706687
0.1473684210526316,0.0,0.0,0.13755773214864783,0.6342423313097394
0.1473684210526316,0.04736842105263158,0.0,0.11542058720415824,0.6332325025998471
0.1473684210526316,0.09473684210526316,0.0,0.07934427110598136,0.6313902672300931
0.1473684210526316,0.14210526315789473,0.0,0.04567527138653757,0.6296038644746096
0.1473684210526316,0.18947368421052632,0.0,0.02716414055490079,0.6283995583227217
0.1473684210526316,0.2368421052631579,0.0,0.014332148877705382,0.6269597227895991
0.1473684210526316,0.28421052631578947,0.0,0.008998808309974408,0.6261132848750917
0.1473684210526316,0.3315789473684211,0.0,0.003905648436285455,0.6254106058574436
0.1473684210526316,0.37894736842105264,0.0,0.0,0.6247797400598746
0.1473684210526316,0.4263157894736842,0.0,0.0,0.6241416691758362
0.1473684210526316,0.4736842105263158,0.0,0.0,0.6237660877945066
0.1473684210526316,0.5210526315789474,0.0,0.0,0.6234266059029889
0.1473684210526316,0.5684210526315789,0.0,0.0,0.6231195637883526
0.1473684210526316,0.6157894736842106,0.0,0.0,0.622905359622573
0.1473684210526316,0.6631578947368422,0.0,0.0,0.6226829006741302
0.1473684210526316,0.7105263157894737,0.0,0.0,0.6225154927585794
0.1473684210526316,0.7578947368421053,0.0,0.0,0.6223944682298406
0.1473684210526316,0.8052631578947369,0.0,0.0,0.6222551735536159
0.1473684210526316,0.8526315789473684,0.0,0.0,0.6221118352241332
0.1473684210526316,0.9,0.0,0.0,0.6220071124599217
0.19473684210526315,0.0,0.0,0.18576269663081055,0.6389970297651801
0.19473684210526315,0.04736842105263158,0.0,0.1630237070074161,0.6379247563330978
0.19473684210526315,0.09473684210526316,0.0,0.12913763245849608,0.6362117098101852
0.19473684210526315,0.14210526315789473,0.0,0.09700759217589867,0.6346293217333037
0.19473684210526315,0.18947368421052632,0.0,0.06413888188883766,0.633005760981089
0.19473684210526315,0.2368421052631579,0.0,0.04104257038802771,0.6313996154451368
0.19473684210526315,0.28421052631578947,0.0,0.025479253200562567,0.6299472948472699
0.19473684210526315,0.3315789473684211,0.0,0.01544588657159463,0.6289852334124315
0.19473684210526315,0.37894736842105264,0.0,0.010890946938810826,0.6279428407377331
0.19473684210526315,0.4263157894736842,0.0,0.005550056007931854,0.6270487642120809
0.19473684210526315,0.4736842105263158,0.0,0.0008254666960458873,0.6264851395546819
0.19473684210526315,0.5210526315789474,0.0,0.0,0.6259279221318466
0.19473684210526315,0.5684210526315789,0.0,0.0,0.6254578131039471
0.19473684210526315,0.6157894736842106,0.0,0.0,0.6250217397741012
0.19473684210526315,0.6631578947368422,0.0,0.0,0.6247178107750514
0.19473684210526315,0.7105263157894737,0.0,0.0,0.6243291466010124
0.19473684210526315,0.7578947368421053,0.0,0.0,0.6241513788288703
0.19473684210526315,0.8052631578947369,0.0,0.0,0.6238672660650263
0.19473684210526315,0.8526315789473684,0.0,0.0,0.6236738316371041
0.19473684210526315,0.9,0.0,0.0,0.6234754714645222
