threshold,precision,recall,f1
0.0,0.75,1.0,0.8571428571428571
0.05,0.8062709966405375,1.0,0.8927464352138872
0.1,0.8323699421965318,1.0,0.9085173501577287
0.15000000000000002,0.8530805687203792,1.0,0.9207161125319693
0.2,0.8664259927797834,1.0,0.9284332688588007
0.25,0.8845208845208845,1.0,0.9387222946544981
0.30000000000000004,0.9011264080100125,1.0,0.9479921000658328
0.35000000000000003,0.916030534351145,1.0,0.9561752988047809
0.4,0.9254498714652957,1.0,0.9612817089452603
0.45,0.9362808842652796,1.0,0.9670920080591001
0.5,0.9448818897637795,1.0,0.97165991902834
0.55,0.9561752988047809,1.0,0.9775967413441955
0.6000000000000001,0.9625167336010709,0.9986111111111111,0.9802317655078391
0.65,0.970310391363023,0.9986111111111111,0.9842573579739904
0.7000000000000001,0.9741847826086957,0.9958333333333333,0.9848901098901099
0.75,0.9807956104252401,0.9930555555555556,0.9868875086266391
0.8,0.9834710743801653,0.9916666666666667,0.9875518672199171
0.8500000000000001,0.9861111111111112,0.9861111111111112,0.9861111111111112
0.9,0.9888423988842399,0.9847222222222223,0.9867780097425192
0.9500000000000001,0.9901823281907434,0.9805555555555555,0.9853454291695743
1.0,0.9915492957746479,0.9777777777777777,0.9846153846153847
