case,buses,branches,h_p_max_abs_error,h_q_max_abs_error,power_balance_residual,converged
case9,9,9,6.417149628072197e-16,6.639871232429916e-15,7.494005416219807e-16,True
case14,14,20,2.858824288409778e-15,7.691763892481163e-15,-1.2490009027033011e-15,True
case30,30,41,2.6645352591003757e-15,5.9674487573602164e-15,4.1043557441611256e-15,True
case118,118,186,3.090541525806891e-14,2.4615726124110893e-14,-2.042810365310288e-14,True
